Location,Time,Latitude,Longitude,Altitude,Accuracy,Speed,Bearing,Diferença,dist,Tempo Acumulado (min),Dist. Acumulada (km)
153,2021-07-08 18:43:28+00:00,37.17215,-8.55459,115.17375,6.968,10.013259,184.03708,3.0,33.45003846145807,35,5.273
154,2021-07-08 18:43:34+00:00,37.17159,-8.55462,112.20979,5.36,9.92208,170.61777,6.0,62.325866284475524,36,5.335
155,2021-07-08 18:43:40+00:00,37.17116,-8.554297,109.19157,9.112,9.37212,123.897156,6.0,55.724387970880116,36,5.391
156,2021-07-08 18:43:46+00:00,37.171043,-8.553597,108.29245,8.576,10.36911,104.03641,6.0,63.37255941438731,36,5.454
157,2021-07-08 18:43:52+00:00,37.170982,-8.553092,106.01622,9.112,4.992706,104.06171,6.0,45.25625212330544,36,5.499
158,2021-07-08 18:43:55+00:00,37.170986,-8.553033,110.09148,8.04,3.122792,112.77693,3.0,5.246530424587954,36,5.505
159,2021-07-08 18:44:01+00:00,37.17091,-8.552974,110.548515,17.327,6.330994,189.84131,6.0,9.937028881681925,36,5.515
160,2021-07-08 18:44:04+00:00,37.17072,-8.553027,113.373886,8.576,8.490296,194.5892,3.0,21.642650949873488,36,5.536
161,2021-07-08 18:44:07+00:00,37.17045,-8.553139,107.48009,7.504,7.644588,200.76093,3.0,31.620221715703202,36,5.568
162,2021-07-08 18:44:10+00:00,37.170284,-8.553238,105.95369,4.094,5.735289,213.79495,3.0,20.436654435260156,36,5.588
163,2021-07-08 18:44:16+00:00,37.170204,-8.553543,99.53343,5.36,8.420593,273.67014,6.0,28.450946427782288,36,5.617
164,2021-07-08 18:44:19+00:00,37.170258,-8.553911,100.10873,6.968,10.797499,276.1275,3.0,33.15489992041394,36,5.65
165,2021-07-08 18:44:25+00:00,37.17036,-8.554752,96.62463,11.792,12.289215,271.84225,6.0,75.37493947119685,36,5.725
166,2021-07-08 18:44:28+00:00,37.170334,-8.555166,84.84841,13.4,12.269249,267.11703,3.0,36.79616630440062,36,5.762
167,2021-07-08 18:44:31+00:00,37.17033,-8.555548,87.650024,8.576,10.847627,279.2499,3.0,33.84998836135623,37,5.796
168,2021-07-08 18:44:34+00:00,37.170464,-8.555848,89.59419,5.896,10.957278,319.6103,3.0,30.47272017113285,37,5.826
169,2021-07-08 18:44:40+00:00,37.17114,-8.556146,91.799,3.9,13.392711,344.8776,6.0,79.67038193385396,37,5.906
170,2021-07-08 18:44:43+00:00,37.171513,-8.556247,93.00676,3.9,13.714757,346.95383,3.0,42.430160129573075,37,5.948
171,2021-07-08 18:44:49+00:00,37.172234,-8.55645,99.07077,6.432,13.003641,346.06076,6.0,82.16439398736388,37,6.031
172,2021-07-08 18:44:52+00:00,37.172558,-8.55655,103.23392,8.04,12.76573,347.86996,3.0,37.10067322861382,37,6.068
173,2021-07-08 18:44:55+00:00,37.172897,-8.556649,97.05686,8.576,13.472637,349.83154,3.0,38.702197997874556,37,6.106
174,2021-07-08 18:45:01+00:00,37.173683,-8.55679,102.66293,10.184,14.711854,351.9477,6.0,88.28755497312953,37,6.195
175,2021-07-08 18:45:04+00:00,37.174072,-8.556847,105.37825,8.576,12.765755,353.96384,3.0,43.54865039787785,37,6.238
176,2021-07-08 18:45:10+00:00,37.1747,-8.556881,110.14568,6.968,10.527248,356.99045,6.0,69.8953595785589,37,6.308
177,2021-07-08 18:45:13+00:00,37.174984,-8.556873,109.424416,6.968,11.427952,9.6874275,3.0,31.587312615834154,37,6.34
178,2021-07-08 18:45:19+00:00,37.1756,-8.5566225,104.93431,10.184,9.786593,15.967951,6.0,72.00200596898937,37,6.412
179,2021-07-08 18:45:22+00:00,37.17585,-8.55652,105.540115,8.04,9.088359,11.929147,3.0,29.24449427422219,37,6.441
180,2021-07-08 18:47:34+00:00,37.175888,-8.556526,119.00998,13.58,1.493762,177.28296,132.0,4.2587151135744294,40,6.445
181,2021-07-08 18:47:40+00:00,37.17555,-8.556582,128.47734,5.36,8.896215,194.79483,6.0,37.90996051225741,40,6.483
182,2021-07-08 18:47:46+00:00,37.17496,-8.55683,122.86519,5.896,11.265743,196.19974,6.0,69.1867846590687,40,6.552
183,2021-07-08 18:47:49+00:00,37.174603,-8.556851,119.48133,6.432,12.803573,178.79826,3.0,39.74016821415953,40,6.592
184,2021-07-08 18:47:52+00:00,37.174225,-8.556799,118.74946,6.432,13.7332945,176.06699,3.0,42.28343237722381,40,6.634
185,2021-07-08 18:47:58+00:00,37.173447,-8.556703,111.86566,8.04,14.487218,174.20679,6.0,86.92678844279608,40,6.721
186,2021-07-08 18:48:01+00:00,37.17303,-8.556643,104.80768,8.576,14.090138,170.04396,3.0,46.67203228244722,40,6.768
187,2021-07-08 18:48:07+00:00,37.172287,-8.5564785,93.0049,10.72,13.852151,168.0382,6.0,83.89361202947528,40,6.852
188,2021-07-08 18:48:10+00:00,37.171925,-8.556387,91.19998,10.184,13.662527,168.00945,3.0,41.0608676582132,40,6.893
189,2021-07-08 18:48:16+00:00,37.17121,-8.556202,85.947586,4.824,14.292616,166.09183,6.0,81.17654203243423,40,6.974
190,2021-07-08 18:48:22+00:00,37.17053,-8.555955,85.52234,4.094,11.726496,158.20303,6.0,78.71608436463131,40,7.053
191,2021-07-08 18:48:28+00:00,37.170128,-8.555431,90.49209,5.896,11.437302,110.56023,6.0,64.44975334617234,40,7.117
192,2021-07-08 18:48:31+00:00,37.170128,-8.554987,87.84239,7.504,12.438102,87.25454,3.0,39.34067517142686,41,7.157
193,2021-07-08 18:48:34+00:00,37.170235,-8.554512,91.379974,8.576,12.145108,86.647675,3.0,43.73681057473116,41,7.2
194,2021-07-08 18:48:37+00:00,37.170265,-8.554086,90.42665,11.792,12.090905,90.17121,3.0,37.89284113750779,41,7.238
195,2021-07-08 18:48:40+00:00,37.170242,-8.553655,100.7952,11.792,12.318625,94.821465,3.0,38.2742860896353,41,7.277
196,2021-07-08 18:48:46+00:00,37.170128,-8.552797,106.67408,4.094,12.567157,100.04692,6.0,77.0727208515596,41,7.354
197,2021-07-08 18:48:49+00:00,37.170067,-8.552396,104.26315,4.824,12.092077,100.94052,3.0,36.172310618534574,41,7.39
198,2021-07-08 18:48:55+00:00,37.169956,-8.551601,103.51767,7.504,10.291833,100.01577,6.0,71.51434024299422,41,7.461
199,2021-07-08 18:48:58+00:00,37.169853,-8.551311,101.17986,8.04,10.20694,119.91714,3.0,28.132452633797076,41,7.489
200,2021-07-08 18:49:01+00:00,37.16967,-8.55107,100.03802,9.112,10.04357,141.97804,3.0,29.49676465201448,41,7.519
